,source ID,destination ID,distance(Weight),travel_time,Line,capacity,source_name,source_lai,source_long,dies_name,des_lai,des_long
edge1,1,2,800,2,1,2000,La Défense–Grande Arche,48.891852°N,2.238539°E,Esplanade de La Défense,48°53′18″N,2°15′0″E
edge2,2,3,800,2,1,2000,Esplanade de La Défense,48°53′18″N,2°15′0″E,Pont de Neuilly,48°53′06″N,2°15′35″E
edge3,3,4,800,2,1,2000,Pont de Neuilly,48°53′06″N,2°15′35″E,Les Sablons,48°52′51″N,2°16′20″E
edge4,4,5,800,2,1,2000,Les Sablons,48°52′51″N,2°16′20″E,Porte Maillot,48°52′41″N,2°16′55″E
edge5,5,6,800,2,1,2000,Porte Maillot,48°52′41″N,2°16′55″E,Argentine,48°52′31″N,2°17′24″E
edge6,6,7,800,2,1,2000,Argentine,48°52′31″N,2°17′24″E,Charles de Gaulle–Étoile,48°52′26″N,2°17′42″E
edge7,7,8,800,2,1,2000,Charles de Gaulle–Étoile,48°52′26″N,2°17′42″E,George V,48°52′19″N,2°18′02″E
edge8,8,9,800,2,1,2000,George V,48°52′19″N,2°18′02″E,Franklin D. Roosevelt,48°52′08″N,2°18′36″E
edge9,9,10,800,2,1,2000,Franklin D. Roosevelt,48°52′08″N,2°18′36″E,Champs-Élysées–Clemenceau,48°52′03″N,2°18′49″E
edge10,10,11,800,2,1,2000,Champs-Élysées–Clemenceau,48°52′03″N,2°18′49″E,Concorde,48°51′55″N,2°19′16″E
edge11,11,12,800,2,1,2000,Concorde,48°51′55″N,2°19′16″E,Tuileries,48°51′52″N,2°19′47″E
edge12,12,13,800,2,1,2000,Tuileries,48°51′52″N,2°19′47″E,Palais Royal–Musée du Louvre,48°51′46″N,2°20′12″E
edge13,13,14,800,2,1,2000,Palais Royal–Musée du Louvre,48°51′46″N,2°20′12″E,Louvre–Rivoli,48°51′40″N,2°20′25″E
edge14,14,15,800,2,1,2000,Louvre–Rivoli,48°51′40″N,2°20′25″E,Châtelet,48°51′30″N,2°20′50″E
edge15,15,16,800,2,1,2000,Châtelet,48°51′30″N,2°20′50″E,Hôtel de Ville,48°51′27″N,2°21′05″E
edge16,16,17,800,2,1,2000,Hôtel de Ville,48°51′27″N,2°21′05″E,Saint-Paul,48°51′19″N,2°21′39″E
edge17,17,18,800,2,1,2000,Saint-Paul,48°51′19″N,2°21′39″E,Bastille,48°51′11″N,2°22′09″E
edge18,18,19,800,2,1,2000,Bastille,48°51′11″N,2°22′09″E,Gare de Lyon,48°50′41″N,2°22′26″E
edge19,20,21,800,2,1,2000,Gare de Lyon,48°50′41″N,2°22′26″E,Reuilly–Diderot,48°50′49″N,2°23′11″E
edge20,21,22,800,2,1,2000,Reuilly–Diderot,48°50′49″N,2°23′11″E,Nation,48°50′54″N,2°23′45″E
edge21,22,23,800,2,1,2000,Nation,48°50′54″N,2°23′45″E,Porte de Vincennes,48°50′50″N,2°24′28″E
edge22,23,24,800,2,1,2000,Porte de Vincennes,48°50′50″N,2°24′28″E,Saint-Mandé,48°50′46″N,2°25′08″E
edge23,24,25,800,2,1,2000,Saint-Mandé,48°50′46″N,2°25′08″E,Bérault,48°50′43″N,2°25′42″E
edge24,25,26,800,2,1,2000,Bérault,48°50′43″N,2°25′42″E,Château de Vincennes,48°50′40″N,2°26′24″E